researcher,speaker,trial,typicality,colour_en,object_en,trial_number
Anya,AL,1,medium,yellow,peas,1
Garik,AL,4,medium,orange,potatoes,1
Margaux,AL,6,typical,brown,walnut,1
Garik,AL,10,typical,orange,mandarine,1
Margaux,AL,13,atypical,brown,pepper,1
Anya,AL,14,typical,yellow,lemon,1
Margaux,AL,17,medium,red,apricot,1
Sasha,AL,19,atypical,green,carrots,1
Anya,AL,24,atypical,yellow,cherry,1
Margaux,AL,25,typical,red,strawberry,1
Sasha,AL,27,medium,green,tomato,1
Margaux,AL,29,medium,brown,banana,1
Garik,AL,31,atypical,orange,grapes,1
Sasha,AL,33,typical,green,beans,1
Margaux,AL,35,atypical,red,cucumber,1
Anya,AL,36,medium,yellow,peas,2
Garik,AL,39,medium,orange,potatoes,2
Margaux,AL,41,typical,brown,walnut,2
Garik,AL,45,typical,orange,mandarine,2
Margaux,AL,48,atypical,brown,pepper,2
Anya,AL,49,typical,yellow,lemon,2
Margaux,AL,52,medium,red,apricot,2
Sasha,AL,54,atypical,green,carrots,2
Anya,AL,59,atypical,yellow,cherry,2
Margaux,AL,60,typical,red,strawberry,2
Sasha,AL,62,medium,green,tomato,2
Margaux,AL,64,medium,brown,banana,2
Garik,AL,66,atypical,orange,grapes,2
Sasha,AL,68,typical,green,beans,2
Margaux,AL,70,atypical,red,cucumber,2
Margaux,AS,1,medium,red,apricot,1
Margaux,AS,3,typical,red,strawberry,1
Anya,AS,7,typical,yellow,lemon,1
Sasha,AS,9,medium,brown,banana,1
Garik,AS,11,medium,orange,potatoes,1
Sasha,AS,14,typical,green,beans,1
Garik,AS,15,typical,orange,mandarine,1
Sasha,AS,17,medium,green,tomato,1
Margaux,AS,19,atypical,red,cucumber,1
Garik,AS,21,atypical,orange,grapes,1
Anya,AS,24,medium,yellow,peas,1
Sasha,AS,25,typical,brown,walnut,1
Anya,AS,27,atypical,yellow,cherry,1
Sasha,AS,29,atypical,green,carrots,1
Sasha,AS,31,atypical,brown,pepper,1
Margaux,AS,36,medium,red,apricot,2
Margaux,AS,38,typical,red,strawberry,2
Anya,AS,42,typical,yellow,lemon,2
Sasha,AS,44,medium,brown,banana,2
Garik,AS,46,medium,orange,potatoes,2
Sasha,AS,49,typical,green,beans,2
Garik,AS,50,typical,orange,mandarine,2
Sasha,AS,52,medium,green,tomato,2
Margaux,AS,54,atypical,red,cucumber,2
Garik,AS,56,atypical,orange,grapes,2
Anya,AS,59,medium,yellow,peas,2
Sasha,AS,60,typical,brown,walnut,2
Anya,AS,62,atypical,yellow,cherry,2
Sasha,AS,64,atypical,green,carrots,2
Sasha,AS,66,atypical,brown,pepper,2
Anya,CG,2,medium,brown,banana,1
Anya,CG,5,typical,brown,walnut,1
Garik,CG,8,typical,orange,mandarine,1
Anya,CG,9,typical,yellow,lemon,1
Margaux,CG,12,atypical,red,cucumber,1
Sasha,CG,13,medium,green,tomato,1
Margaux,CG,17,typical,red,strawberry,1
Sasha,CG,19,typical,green,beans,1
Garik,CG,21,atypical,orange,grapes,1
Sasha,CG,23,atypical,green,carrots,1
Margaux,CG,25,medium,red,apricot,1
Garik,CG,27,medium,orange,potatoes,1
Anya,CG,30,medium,yellow,peas,1
Anya,CG,32,atypical,brown,pepper,1
Anya,CG,33,atypical,yellow,cherry,1
Anya,CG,37,medium,brown,banana,2
Anya,CG,40,typical,brown,walnut,2
Garik,CG,43,typical,orange,mandarine,2
Anya,CG,44,typical,yellow,lemon,2
Margaux,CG,47,atypical,red,cucumber,2
Sasha,CG,48,medium,green,tomato,2
Margaux,CG,52,typical,red,strawberry,2
Sasha,CG,54,typical,green,beans,2
Garik,CG,56,atypical,orange,grapes,2
Sasha,CG,58,atypical,green,carrots,2
Margaux,CG,60,medium,red,apricot,2
Garik,CG,62,medium,orange,potatoes,2
Anya,CG,65,medium,yellow,peas,2
Anya,CG,67,atypical,brown,pepper,2
Anya,CG,68,atypical,yellow,cherry,2
Margaux,CH,2,atypical,red,cucumber,1
Sasha,CH,4,typical,green,beans,1
Garik,CH,6,atypical,orange,grapes,1
Margaux,CH,8,medium,red,apricot,1
Margaux,CH,9,typical,brown,walnut,1
Anya,CH,11,atypical,yellow,cherry,1
Sasha,CH,14,medium,green,tomato,1
Sasha,CH,18,atypical,green,carrots,1
Margaux,CH,21,atypical,brown,pepper,1
Garik,CH,22,typical,orange,mandarine,1
Anya,CH,27,medium,yellow,peas,1
Garik,CH,29,medium,orange,potatoes,1
Anya,CH,31,typical,yellow,lemon,1
Margaux,CH,33,typical,red,strawberry,1
Margaux,CH,35,medium,brown,banana,1
Margaux,CH,37,atypical,red,cucumber,2
Sasha,CH,39,typical,green,beans,2
Garik,CH,41,atypical,orange,grapes,2
Margaux,CH,43,medium,red,apricot,2
Margaux,CH,44,typical,brown,walnut,2
Anya,CH,46,atypical,yellow,cherry,2
Sasha,CH,49,medium,green,tomato,2
Sasha,CH,53,atypical,green,carrots,2
Margaux,CH,56,atypical,brown,pepper,2
Garik,CH,57,typical,orange,mandarine,2
Anya,CH,62,medium,yellow,peas,2
Garik,CH,64,medium,orange,potatoes,2
Anya,CH,66,typical,yellow,lemon,2
Margaux,CH,68,typical,red,strawberry,2
Margaux,CH,70,medium,brown,banana,2
Margaux,CO,2,typical,brown,walnut,1
Sasha,CO,5,typical,green,beans,1
Margaux,CO,6,atypical,brown,pepper,1
Margaux,CO,8,medium,brown,banana,1
Margaux,CO,10,medium,red,apricot,1
Garik,CO,12,medium,orange,potatoes,1
Anya,CO,15,typical,yellow,lemon,1
Garik,CO,16,typical,orange,mandarine,1
Anya,CO,18,atypical,yellow,cherry,1
Margaux,CO,20,typical,red,strawberry,1
Anya,CO,24,medium,yellow,peas,1
Garik,CO,26,atypical,orange,grapes,1
Margaux,CO,31,atypical,red,cucumber,1
Sasha,CO,33,atypical,green,carrots,1
Sasha,CO,35,medium,green,tomato,1
Margaux,CO,37,typical,brown,walnut,2
Sasha,CO,40,typical,green,beans,2
Margaux,CO,41,atypical,brown,pepper,2
Margaux,CO,43,medium,brown,banana,2
Margaux,CO,45,medium,red,apricot,2
Garik,CO,47,medium,orange,potatoes,2
Anya,CO,50,typical,yellow,lemon,2
Garik,CO,51,typical,orange,mandarine,2
Anya,CO,53,atypical,yellow,cherry,2
Margaux,CO,55,typical,red,strawberry,2
Anya,CO,59,medium,yellow,peas,2
Garik,CO,61,atypical,orange,grapes,2
Margaux,CO,66,atypical,red,cucumber,2
Sasha,CO,68,atypical,green,carrots,2
Sasha,CO,70,medium,green,tomato,2
Garik,CT,1,atypical,brown,pepper,1
Garik,CT,3,typical,orange,mandarine,1
Margaux,CT,5,medium,red,apricot,1
Anya,CT,7,atypical,yellow,cherry,1
Garik,CT,11,medium,orange,potatoes,1
Garik,CT,13,typical,brown,walnut,1
Sasha,CT,15,typical,green,beans,1
Margaux,CT,16,typical,red,strawberry,1
Margaux,CT,20,atypical,red,cucumber,1
Anya,CT,23,medium,yellow,peas,1
Sasha,CT,24,medium,green,tomato,1
Sasha,CT,27,atypical,green,carrots,1
Anya,CT,29,typical,yellow,lemon,1
Garik,CT,31,atypical,orange,grapes,1
Garik,CT,34,medium,brown,banana,1
Garik,CT,36,atypical,brown,pepper,2
Garik,CT,38,typical,orange,mandarine,2
Margaux,CT,40,medium,red,apricot,2
Anya,CT,42,atypical,yellow,cherry,2
Garik,CT,46,medium,orange,potatoes,2
Garik,CT,48,typical,brown,walnut,2
Sasha,CT,50,typical,green,beans,2
Margaux,CT,51,typical,red,strawberry,2
Margaux,CT,55,atypical,red,cucumber,2
Anya,CT,58,medium,yellow,peas,2
Sasha,CT,59,medium,green,tomato,2
Sasha,CT,62,atypical,green,carrots,2
Anya,CT,64,typical,yellow,lemon,2
Garik,CT,66,atypical,orange,grapes,2
Garik,CT,69,medium,brown,banana,2
Anya,EM,3,atypical,yellow,cherry,1
Garik,EM,5,atypical,brown,pepper,1
Garik,EM,6,medium,orange,potatoes,1
Garik,EM,8,typical,orange,mandarine,1
Sasha,EM,10,atypical,green,carrots,1
Margaux,EM,13,typical,red,strawberry,1
Anya,EM,14,medium,yellow,peas,1
Garik,EM,16,typical,brown,walnut,1
Anya,EM,19,typical,yellow,lemon,1
Garik,EM,21,atypical,orange,grapes,1
Garik,EM,24,medium,brown,banana,1
Sasha,EM,28,typical,green,beans,1
Margaux,EM,30,atypical,red,cucumber,1
Margaux,EM,34,medium,red,apricot,1
Sasha,EM,35,medium,green,tomato,1
Anya,EM,38,atypical,yellow,cherry,2
Garik,EM,40,atypical,brown,pepper,2
Garik,EM,41,medium,orange,potatoes,2
Garik,EM,43,typical,orange,mandarine,2
Sasha,EM,45,atypical,green,carrots,2
Margaux,EM,48,typical,red,strawberry,2
Anya,EM,49,medium,yellow,peas,2
Garik,EM,51,typical,brown,walnut,2
Anya,EM,54,typical,yellow,lemon,2
Garik,EM,56,atypical,orange,grapes,2
Garik,EM,59,medium,brown,banana,2
Sasha,EM,63,typical,green,beans,2
Margaux,EM,65,atypical,red,cucumber,2
Margaux,EM,69,medium,red,apricot,2
Sasha,EM,70,medium,green,tomato,2
Garik,HA,2,typical,orange,mandarine,1
Sasha,HA,4,medium,green,tomato,1
Margaux,HA,6,atypical,red,cucumber,1
Sasha,HA,9,typical,green,beans,1
Margaux,HA,12,medium,red,apricot,1
Garik,HA,14,medium,brown,banana,1
Anya,HA,16,typical,yellow,lemon,1
Margaux,HA,18,typical,red,strawberry,1
Garik,HA,20,medium,orange,potatoes,1
Anya,HA,22,atypical,yellow,cherry,1
Garik,HA,24,typical,brown,walnut,1
Garik,HA,27,atypical,orange,grapes,1
Sasha,HA,29,atypical,green,carrots,1
Garik,HA,32,atypical,brown,pepper,1
Anya,HA,33,medium,yellow,peas,1
Garik,HA,37,typical,orange,mandarine,2
Sasha,HA,39,medium,green,tomato,2
Margaux,HA,41,atypical,red,cucumber,2
Sasha,HA,44,typical,green,beans,2
Margaux,HA,47,medium,red,apricot,2
Garik,HA,49,medium,brown,banana,2
Anya,HA,51,typical,yellow,lemon,2
Margaux,HA,53,typical,red,strawberry,2
Garik,HA,55,medium,orange,potatoes,2
Anya,HA,57,atypical,yellow,cherry,2
Garik,HA,59,typical,brown,walnut,2
Garik,HA,62,atypical,orange,grapes,2
Sasha,HA,64,atypical,green,carrots,2
Garik,HA,67,atypical,brown,pepper,2
Anya,HA,68,medium,yellow,peas,2
Sasha,HS,2,typical,brown,walnut,1
Garik,HS,6,typical,orange,mandarine,1
Anya,HS,7,typical,yellow,lemon,1
Garik,HS,9,medium,orange,potatoes,1
Garik,HS,11,atypical,orange,grapes,1
Sasha,HS,13,atypical,brown,pepper,1
Anya,HS,16,medium,yellow,peas,1
Sasha,HS,20,medium,green,tomato,1
Sasha,HS,22,medium,brown,banana,1
Margaux,HS,23,typical,red,strawberry,1
Margaux,HS,25,medium,red,apricot,1
Margaux,HS,27,atypical,red,cucumber,1
Sasha,HS,28,atypical,green,carrots,1
Anya,HS,31,atypical,yellow,cherry,1
Sasha,HS,35,typical,green,beans,1
Sasha,HS,37,typical,brown,walnut,2
Garik,HS,41,typical,orange,mandarine,2
Anya,HS,42,typical,yellow,lemon,2
Garik,HS,44,medium,orange,potatoes,2
Garik,HS,46,atypical,orange,grapes,2
Sasha,HS,48,atypical,brown,pepper,2
Anya,HS,51,medium,yellow,peas,2
